system_id,system_public_name,latitude,longitude,dc_capacity_kW,years,number_records,dataset_size_mb,available_sensor_channels,kg_climate,A_PVCZ_T,A_PVCZ_H,A_MOUNT,A_TRACK,A_TILT,A_AZ,A_CAP,A_VINT,P0_cell,P0_primary_TH
10114,Pvoutput.org Strube Solar,37.35115,-120.6056,3.06,12.2438,1201248.0,27.49,2,Bsk,T5,H2,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H2
10116,Pvoutput.org Its about time...,35.078246,-106.61747,2.4,10.315,1083616.0,24.8,2,Bsk,T3,H2,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H2|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H2
10117,Pvoutput.org On Ashby in Berkeley,37.856926,-122.25084,4.8,12.0219,1319496.0,30.2,2,Csb,T3,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T3:H3
10118,Pvoutput.org Casa De Scott24,33.179587,-117.24461,3.924,12.1808,799382.0,18.3,2,Csa,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10119,Pvoutput.org Lords Home,40.503746,-111.96327,10.29,12.2602,1530511.0,35.03,2,Dfb,T4,H2,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H2|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H2
10120,Pvoutput.org Riley Energy,30.811453,-93.116972,4.8,7.926,789888.0,18.08,2,Cfa,T5,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H4
10121,Pvoutput.org McPherson Residence,42.862193,-73.96317,4.25,7.9643,778992.0,17.83,2,Dfb,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10122,Pvoutput.org KERR 5.6KW Home System,38.819297,-89.9551,5.635,12.1671,1275214.0,29.19,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10123,Pvoutput.org Grossmann house,43.127195,-77.72465,6.86,7.852,689538.0,15.78,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10124,Pvoutput.org Stolze House,38.839078,-90.728664,7.65,6.0739,806700.0,18.46,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10125,Pvoutput.org BigHs Solar System,40.719249,-73.35829,9.88,9.8383,1074226.0,24.59,2,Cfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10126,Pvoutput.org littlebig,44.101227,-123.13604,3.28,6.0739,552494.0,12.65,2,Csb,T2,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T2|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T2:H3
10128,Pvoutput.org JR_Sunrise,42.189617,-71.697977,6.24,6.0328,625490.0,14.32,2,Dfb,T3,H3,UNKNOWN,fixed,low,north,residential,2015-2019,T3|H3|UNKNOWN|fixed|low|north|residential|2015-2019,T3:H3
10129,Pvoutput.org McMaster1,43.006309,-73.8604,4.32,8.5616,830174.0,19.0,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|south|residential|2015-2019,T3:H3
10131,Pvoutput.org Larry Blakesley,39.885202,-104.88339,9.84,12.1369,1285654.0,29.43,2,Bsk,T3,H2,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H2|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H2
10132,Pvoutput.org Kent Roof Array,40.759156,-82.51118,4.928,11.3095,1763096.0,40.35,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10133,Pvoutput.org Mt. Tiburon CA,37.886786,-122.45936,7.05,6.1589,650728.0,14.89,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10134,Pvoutput.org San Carlos,32.80225,-117.02431,7.44,12.0767,1287486.0,29.47,2,Bsk,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10135,Pvoutput.org Enphase St Augustine,29.87131,-81.29464,4.41,12.0739,1248760.0,28.58,2,Cfa,T5,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H4
10137,Pvoutput.org Palmer Solar,61.598203,-149.04109,3.44,7.8767,767968.0,17.58,2,Dfc,T1,H1,UNKNOWN,fixed,mid,south,residential,2010-2014,T1|H1|UNKNOWN|fixed|mid|south|residential|2010-2014,T1:H1
10138,Pvoutput.org Dozers lounge,38.901811,-76.99097,4.14,12.063,1246434.0,28.53,2,Cfa,T4,H3,UNKNOWN,fixed,low,north,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|north|residential|2010-2014,T4:H3
10139,Pvoutput.org BrooksideFarms,37.811676,-121.98647,2.5,12.041,1258994.0,28.82,2,Csb,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10140,Pvoutput.org Wolf Home,34.063769,-118.380435,6.72,9.0739,850406.0,19.46,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T3|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T3:H3
10141,Pvoutput.org Daisys House,21.338055,-158.02499,8.575,11.8383,1271894.0,29.11,2,Cfb,T5,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T5:H3
10142,Pvoutput.org AMP AGE,40.649202,-74.34567,6.825,7.1561,1066544.0,24.41,2,Cfa,T4,H3,UNKNOWN,fixed,mid,west,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|west|residential|2015-2019,T4:H3
10143,Pvoutput.org BD Residence,42.20532,-71.162375,7.75,12.0191,1151230.0,26.35,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10146,Pvoutput.org Duran Family PV System,26.263669,-81.576891,10.2,7.8191,834050.0,19.09,2,Aw,T5,H4,UNKNOWN,fixed,low,west,residential,2010-2014,T5|H4|UNKNOWN|fixed|low|west|residential|2010-2014,T5:H4
10147,Pvoutput.org Surya Power,40.33371,-74.58512,9.66,12.0876,1248742.0,28.58,2,Cfa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10148,Pvoutput.org Cherry Lane,44.484038,-73.22126,9.31,10.1342,844918.0,19.34,2,Dfb,T2,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T2|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T2:H3
10149,Pvoutput.org HavasuSun,34.469945,-114.27861,7.2,12.0739,1277830.0,29.25,2,Bwh,T5,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H2
10150,Pvoutput.org Rocket J Squirrels Nest,37.859936,-121.983338,9.0,12.052,807594.0,18.48,2,Csb,T3,H3,UNKNOWN,fixed,high,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|west|residential|2010-2014,T3:H3
10151,Pvoutput.org PVPuffs,39.9656,-76.17781,10.92,9.6684,940310.0,21.52,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10152,Pvoutput.org Vash Solar,41.662281,-73.0482,6.3,11.1589,896354.0,20.52,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10153,Pvoutput.org Marco Solar Power - Redondo,33.868412,-118.366253,4.08,10.0739,1171986.0,26.82,2,Csb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10154,Pvoutput.org Harris Shasta Lake Ca,40.682393,-122.36824,6.24,10.0328,905932.0,20.74,2,Csa,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10156,Pvoutput.org Lewis Family,32.788736,-116.90487,3.502,11.9123,1271222.0,29.1,2,Csa,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10157,Pvoutput.org Papaltexan,35.106396,-106.57927,3.825,11.0739,909076.0,20.81,2,Bsk,T3,H2,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H2|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H2
10158,Pvoutput.org Sonny Edmonds,34.481172,-118.42821,5.88,11.5452,1123770.0,25.72,2,Csb,T4,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H3
